
> Original 20 stage case
------------------------------------------------------------------------------------------------------------
Here comes the result:
------------------------------------------------------------------------------------------------------------
stages			T	Q				V_out	L_out	L_Prod		W
React-ive[15]		246.2	-44.5	0.2868	0.734		1.8420	0.0118	0.0000		20.000
React-ive[16]		249.2	-44.6	0.2881	0.805		1.3793	0.0105	0.0000		20.000
React-ive[17]		254.6	-44.9	0.2897	0.883		0.9170	0.0092	0.0000		20.000
React-ive[18]		273.1	-45.5	0.2993	0.966		0.4547	0.0056	0.0000		20.000
NON-react[19]		273.2	0.000	0.0000	0.000		0.0002	0.0057	0.0000		20.000
NON-react[20]		274.0	0.000	0.0000	0.000		0.0002	0.0057	0.0000		20.000

stages			T	Q				V_out	L_out			P_VLE
Reboiler		350.0	0.409				0.0002	0.0054			20.000
------------------------------------------------------------------------------------------------------------
Napha:		0.75
Gasoline:	0.76
Diesel:		0.60
Heavy:		0.85
============================================================================================================
2018-07-09 16:19:27 - Function time
Elapsed time: 0:03:02
Total time:   0:03:20
============================================================================================================

> Optimized Product Side Draw
------------------------------------------------------------------------------------------------------------
Here comes the result:
------------------------------------------------------------------------------------------------------------
stages			T	Q				V_out	L_out	L_Prod		W
Condenser		30.00	-147.				2.3257	0.7582	0.0619		2.3096

stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
NON-react[1]		118.9	0.000	0.0000	0.000		5.4555	0.8926	0.0000		20.000
NON-react[2]		127.8	0.000	0.0000	0.000		5.5899	0.8249	0.0000		20.000
NON-react[3]		135.6	0.000	0.0000	0.000		5.5222	0.7737	0.0000		20.000
NON-react[4]		143.2	0.000	0.0000	0.000		5.4710	0.6877	0.0286		20.000
NON-react[5]		151.2	0.000	0.0000	0.000		5.4137	0.6063	0.0000		20.000
NON-react[6]		161.2	0.000	0.0000	0.000		5.3322	0.4745	0.0000		20.000
NON-react[7]		176.7	0.000	0.0000	0.000		5.2005	0.2016	0.0936		20.000
React-ive[8]		200.0	-34.5	0.1297	0.214		5.0212	0.2205	0.0000		20.000
React-ive[9]		245.5	-37.1	0.2922	0.519		4.2961	0.0992	0.0000		20.000
React-ive[10]		246.2	-43.1	0.2990	0.553		3.7239	0.0188	0.0241		20.000
React-ive[11]		242.4	-44.4	0.2905	0.568		3.2290	0.0092	0.0000		20.000
React-ive[12]		241.1	-44.4	0.2864	0.601		2.7673	0.0080	0.0000		20.000
NON-react[13]		241.3	0.000	0.0000	0.000		2.3071	0.0073	0.0000		20.000
React-ive[14]		241.5	-44.5	0.2863	0.650		2.3064	0.0074	0.0000		20.000
React-ive[15]		241.9	-44.4	0.2844	0.705		1.8471	0.0077	0.0000		20.000
React-ive[16]		244.0	-44.3	0.2844	0.777		1.3843	0.0077	0.0000		20.000
React-ive[17]		249.3	-44.7	0.2857	0.864		0.9197	0.0074	0.0000		20.000
React-ive[18]		272.0	-45.5	0.2993	0.964		0.4539	0.0043	0.0000		20.000
NON-react[19]		272.1	0.000	0.0000	0.000		0.0001	0.0043	0.0000		20.000
NON-react[20]		272.8	0.000	0.0000	0.000		0.0001	0.0043	0.0000		20.000

stages			T	Q				V_out	L_out			P_VLE
Reboiler		350.0	0.317				0.0002	0.0041			20.000
------------------------------------------------------------------------------------------------------------
Napha:		0.76
Gasoline:	0.75
Diesel:		0.60
Heavy:		0.85
============================================================================================================
2018-07-09 16:20:09 - Function time
Elapsed time: 0:00:42
Total time:   0:04:01
============================================================================================================

> Optimized Feed Amount and Location
------------------------------------------------------------------------------------------------------------
Here comes the result:
------------------------------------------------------------------------------------------------------------
stages			T	Q				V_out	L_out	L_Prod		W
Condenser		30.00	-147.				1.9364	0.6945	0.0760		2.3783

stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
NON-react[1]		120.9	0.000	0.0000	0.000		5.0853	0.8113	0.0000		20.000
NON-react[2]		129.2	0.000	0.0000	0.000		5.2021	0.7488	0.0000		20.000
NON-react[3]		136.8	0.000	0.0000	0.000		5.1396	0.7031	0.0000		20.000
NON-react[4]		144.1	0.000	0.0000	0.000		5.0939	0.6252	0.0260		20.000
NON-react[5]		152.0	0.000	0.0000	0.000		5.0421	0.5510	0.0000		20.000
NON-react[6]		161.9	0.000	0.0000	0.000		4.9678	0.4299	0.0000		20.000
NON-react[7]		177.3	0.000	0.0000	0.000		4.8467	0.1548	0.1132		20.000
React-ive[8]		200.0	-20.1	0.0404	0.100		4.6849	0.2114	0.0000		20.000
React-ive[9]		240.8	-27.6	0.2262	0.387		4.7098	0.1023	0.0000		20.000
React-ive[10]		243.4	-38.7	0.2817	0.434		4.3567	0.0028	0.0343		20.000
React-ive[11]		239.6	-42.0	0.2812	0.424		3.9861	0.0021	0.0000		20.000
React-ive[12]		239.0	-47.6	0.3176	0.446		3.6873	0.0037	0.0000		20.000
NON-react[13]		232.8	0.000	0.0000	0.000		4.2904	0.0026	0.0000		20.000
React-ive[14]		238.6	-58.0	0.3834	0.480		3.3651	0.0046	0.0000		20.000
React-ive[15]		237.5	-100.	0.6204	0.559		3.1369	0.0056	0.0000		20.000
React-ive[16]		238.2	-111.	0.6813	0.704		1.7630	0.0069	0.0000		20.000
React-ive[17]		299.9	0.252	0.0006	0.999		0.0558	0.0067	0.0000		20.000
React-ive[18]		299.9	-5.61	0.0342	0.999		0.0549	0.0065	0.0000		20.000
NON-react[19]		267.3	0.000	0.0000	0.000		0.1172	0.0050	0.0000		20.000
NON-react[20]		235.4	0.000	0.0000	0.000		0.1158	0.0046	0.0000		20.000

stages			T	Q				V_out	L_out			P_VLE
Reboiler		350.0	0.516				0.0000	0.0046			15.619
------------------------------------------------------------------------------------------------------------
Napha:		0.75
Gasoline:	0.75
Diesel:		0.60
Heavy:		0.85
============================================================================================================
2018-07-09 16:22:00 - Function time
Elapsed time: 0:01:52
Total time:   0:05:53
============================================================================================================

> Optimized Catalyst Amount and Location
------------------------------------------------------------------------------------------------------------
Here comes the result:
------------------------------------------------------------------------------------------------------------
stages			T	Q				V_out	L_out	L_Prod		W
Condenser		30.00	-150.				1.7259	0.6621	0.0777		2.4676

stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		121.7	0.000	0.0000	0.000		4.9334	0.7745	0.0000		20.000
React-ive[2]		129.4	0.000	0.0000	0.000		5.0459	0.7144	0.0000		20.000
React-ive[3]		136.6	0.000	0.0000	0.000		4.9857	0.6711	0.0000		20.000
React-ive[4]		143.9	0.000	0.0000	0.000		4.9424	0.5971	0.0248		20.000
React-ive[5]		151.7	0.000	0.0000	0.000		4.8933	0.5259	0.0000		20.000
React-ive[6]		161.7	0.000	0.0000	0.000		4.8221	0.4091	0.0000		20.000
React-ive[7]		177.3	0.000	0.0000	0.000		4.7053	0.1322	0.1230		20.000
React-ive[8]		200.0	-12.9	0.0000	0.000		4.5515	0.1917	0.0000		20.000
React-ive[9]		238.6	-125.	0.6035	0.653		4.6110	0.5052	0.0000		20.000
React-ive[10]		287.2	44.24	0.0000	0.000		6.0680	0.0244	0.0287		20.000
React-ive[11]		236.1	-126.	0.8263	0.703		3.8318	0.0291	0.0000		20.000
React-ive[12]		234.3	-269.	1.4828	0.796		2.9443	0.2781	0.0000		20.000
React-ive[13]		282.1	0.000	0.0000	0.000		6.0176	0.2789	0.0000		20.000
React-ive[14]		299.9	6.041	0.0000	0.000		6.0173	0.2304	0.0000		20.000
React-ive[15]		298.3	6.946	0.0000	0.000		5.9657	0.1507	0.0000		20.000
React-ive[16]		285.9	3.440	0.0000	0.000		5.8809	0.0985	0.0000		20.000
React-ive[17]		276.5	9.494	0.0000	0.000		5.8174	0.0401	0.0000		20.000
React-ive[18]		271.2	7.936	0.0000	0.000		3.0250	0.0128	0.0000		20.000
React-ive[19]		271.4	0.000	0.0000	0.010		0.0020	0.0128	0.0000		20.000
React-ive[20]		270.9	0.000	0.0000	0.001		0.0019	0.0128	0.0000		20.000

stages			T	Q				V_out	L_out			P_VLE
Reboiler		350.0	0.955				0.0000	0.0128			17.085
------------------------------------------------------------------------------------------------------------
Napha:		0.75
Gasoline:	0.75
Diesel:		0.76
Heavy:		0.85
============================================================================================================
2018-07-09 16:39:19 - Function time
Elapsed time: 0:17:19
Total time:   0:23:12
============================================================================================================
