
> First Solve, disconnected reactive stages
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		220.0	-43.2	0.2660	0.180		9.5522	0.0064	0.0000		20.000
React-ive[2]		220.0	-43.2	0.2660	0.188		9.0746	0.0128	0.0000		20.000
React-ive[3]		220.0	-43.2	0.2660	0.197		8.5970	0.0192	0.0000		20.000
React-ive[4]		220.0	-43.2	0.2660	0.206		8.1194	0.0257	0.0000		20.000
React-ive[5]		220.0	-43.2	0.2660	0.216		7.6418	0.0321	0.0000		20.000
React-ive[6]		220.0	-43.2	0.2660	0.227		7.1641	0.0385	0.0000		20.000
React-ive[7]		220.0	-43.2	0.2660	0.239		6.6865	0.0449	0.0000		20.000
React-ive[8]		220.0	-43.2	0.2660	0.253		6.2089	0.0513	0.0000		20.000
React-ive[9]		220.0	-43.2	0.2660	0.268		5.7313	0.0578	0.0000		20.000
React-ive[10]		220.0	-43.2	0.2660	0.286		5.2537	0.0642	0.0000		20.000
React-ive[11]		220.0	-43.2	0.2660	0.306		4.7761	0.0706	0.0000		20.000
React-ive[12]		220.0	-43.2	0.2660	0.328		4.2985	0.0770	0.0000		20.000
React-ive[13]		220.0	-43.2	0.2660	0.355		3.8209	0.0835	0.0000		20.000
React-ive[14]		220.0	-43.2	0.2660	0.386		3.3432	0.0899	0.0000		20.000
React-ive[15]		220.0	-43.2	0.2660	0.423		2.8656	0.0963	0.0000		20.000
React-ive[16]		220.0	-43.2	0.2660	0.468		2.3880	0.1027	0.0000		20.000
React-ive[17]		220.0	-43.2	0.2660	0.523		1.9104	0.1092	0.0000		20.000
React-ive[18]		220.0	-43.2	0.2660	0.594		1.4328	0.1156	0.0000		20.000
React-ive[19]		220.0	-43.2	0.2660	0.687		0.9552	0.1220	0.0000		20.000
React-ive[20]		220.0	-43.2	0.2660	0.813		0.4776	0.1284	0.0000		20.000
============================================================================================================
2018-07-09 14:00:00 - Function time
Elapsed time: 0:00:13
Total time:   0:01:36
============================================================================================================

> Reactive distillation column assembled, ready to solve, DOF: 

------------------------------------------------------------------------------------------------------------
Active Equality Constraints:	 28997
Active Inequality Constraints:	 21
Active Variables:		 29462
Fixed Variables:		 382
DOF:				 83

> Initialization with no reflux and reboil complete
Here comes the result:
------------------------------------------------------------------------------------------------------------
stages			T	Q				V_out	L_out	L_Prod		W
Condenser		30.00	-269.				5.0967	0.0000	0.2764		4.1790

stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		220.0	-43.2	0.2660	0.180		9.5522	0.0064	0.0000		20.000
React-ive[2]		220.0	-43.2	0.2660	0.188		9.0746	0.0128	0.0000		20.000
React-ive[3]		220.0	-43.2	0.2660	0.197		8.5970	0.0192	0.0000		20.000
React-ive[4]		220.0	-43.2	0.2660	0.206		8.1194	0.0257	0.0000		20.000
React-ive[5]		220.0	-43.2	0.2660	0.216		7.6418	0.0321	0.0000		20.000
React-ive[6]		220.0	-43.2	0.2660	0.227		7.1641	0.0385	0.0000		20.000
React-ive[7]		220.0	-43.2	0.2660	0.239		6.6865	0.0449	0.0000		20.000
React-ive[8]		220.0	-43.2	0.2660	0.253		6.2089	0.0513	0.0000		20.000
React-ive[9]		220.0	-43.2	0.2660	0.268		5.7313	0.0578	0.0000		20.000
React-ive[10]		220.0	-43.2	0.2660	0.286		5.2537	0.0642	0.0000		20.000
