
> First Solve, disconnected reactive stages
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[4]		220.0	-43.2	0.2660	0.527		1.5098	0.0151	0.0037		20.000
React-ive[5]		220.0	-43.2	0.2660	0.544		1.4096	0.0172	0.0043		20.000
React-ive[6]		220.0	-43.2	0.2660	0.567		1.2844	0.0189	0.0047		20.000
React-ive[7]		220.0	-43.2	0.2660	0.598		1.1279	0.0203	0.0050		20.000
React-ive[8]		220.0	-43.2	0.2660	0.643		0.9323	0.0213	0.0053		20.000
React-ive[9]		220.0	-43.2	0.2660	0.710		0.6877	0.0222	0.0055		20.000
React-ive[10]		220.0	-43.2	0.2660	0.815		0.3820	0.0229	0.0057		20.000
============================================================================================================
2018-07-06 15:18:40 - Elapsed time from last log
Elapsed time: 0:00:04
============================================================================================================

> Working on PR ratio = 0.10
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		220.0	-43.2	0.2660	0.403		2.7997	0.0057	0.0006		20.000
React-ive[2]		220.0	-43.2	0.2660	0.418		2.6331	0.0109	0.0012		20.000
React-ive[3]		220.0	-43.2	0.2660	0.436		2.4481	0.0156	0.0017		20.000
React-ive[4]		220.0	-43.2	0.2660	0.458		2.2425	0.0198	0.0022		20.000
React-ive[5]		220.0	-43.2	0.2660	0.484		2.0141	0.0236	0.0026		20.000
React-ive[6]		220.0	-43.2	0.2660	0.518		1.7602	0.0270	0.0030		20.000
React-ive[7]		220.0	-43.2	0.2660	0.561		1.4782	0.0301	0.0033		20.000
React-ive[8]		220.0	-43.2	0.2660	0.619		1.1649	0.0329	0.0036		20.000
React-ive[9]		220.0	-43.2	0.2660	0.698		0.8167	0.0354	0.0039		20.000
React-ive[10]		220.0	-43.2	0.2660	0.814		0.4298	0.0376	0.0041		20.000
============================================================================================================
2018-07-06 15:18:45 - Elapsed time from last log
Elapsed time: 0:00:05
============================================================================================================

> Working on PR ratio = 0.00
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		220.0	-43.2	0.2660	0.306		4.7761	0.0064	0.0000		20.000
React-ive[2]		220.0	-43.2	0.2660	0.328		4.2985	0.0128	0.0000		20.000
React-ive[3]		220.0	-43.2	0.2660	0.355		3.8209	0.0192	0.0000		20.000
React-ive[4]		220.0	-43.2	0.2660	0.386		3.3432	0.0257	0.0000		20.000
React-ive[5]		220.0	-43.2	0.2660	0.423		2.8656	0.0321	0.0000		20.000
React-ive[6]		220.0	-43.2	0.2660	0.468		2.3880	0.0385	0.0000		20.000
React-ive[7]		220.0	-43.2	0.2660	0.524		1.9104	0.0449	0.0000		20.000
React-ive[8]		220.0	-43.2	0.2660	0.594		1.4328	0.0513	0.0000		20.000
